Time,Temperature,AlfaAmilase,AlfaAmilase_Grain,BetaAmilase,BetaAmilase_grain,Starch,Dextrins,Glucose,Maltose,Maltotriose,Limit_Dextrins,SolidosFermentaveis,SolidosNaoFermentaveis,SolidosTotais,PercFermentaveis,Extrato,MashingEfficiency,Dp1,Dp2,Dp3,Dp4Plus
0,64,0,397000,0,1210000,112.1,20.6,5.1,10.3,0,0,15.4,20.6,148.1,10.39837947,3.6,24.30790007,3.443619176,6.954760297,0,13.90952059
0.08008008,64,659.0702315,392321.1274,1557.128714,1198877.158,112.0856481,20.52592941,5.108423631,10.32336932,0.00209928,0.056677516,15.43389223,20.58260693,148.1021473,10.42111307,3.601649915,24.31868802,3.449256965,6.970438649,0.001417454,13.89757495
0.16016016,64,1308.97511,387705.1638,3078.143365,1187870.785,112.0428699,20.30756766,5.133255817,10.39269448,0.008356559,0.223758278,15.53430686,20.53132594,148.1085027,10.48846391,3.60656328,24.35081859,3.465875169,7.016946558,0.005642187,13.86235467
0.24024024,64,1949.838511,383151.2597,4563.699441,1176979.48,111.9720929,19.95257824,5.173598451,10.50673027,0.018709281,0.495199451,15.699038,20.44777769,148.1189086,10.59894253,3.614681569,24.40391712,3.492868332,7.093442943,0.012631257,13.80497459
0.32032032,64,2581.782638,378658.5771,6014.441453,1166201.861,111.8737597,19.47087356,5.228268397,10.66413917,0.033092718,0.863040449,15.92550029,20.33391401,148.1331739,10.75079934,3.625941429,24.47757874,3.529437909,7.199021588,0.022339843,13.7267794
0.4004004,64,3204.928043,374226.2895,7431.003108,1155536.565,111.7483266,18.87424449,5.295846128,10.86349176,0.051440109,1.317730122,16.210778,20.19197461,148.1510792,10.94205866,3.640275261,24.57137187,3.574625414,7.332711862,0.034721387,13.62931321
0.48048048,64,3819.39365,369853.5814,8814.007488,1144982.247,111.5962632,18.17596128,5.3747285,11.1032638,0.073682793,1.848481881,16.55167509,20.02444316,148.1723814,11.17055347,3.657611825,24.684842,3.627348395,7.493477321,0.049727751,13.51428854
0.560560561,64,4425.29678,365539.6482,10164.06722,1134537.581,111.4180508,17.3903666,5.463182896,11.38183062,0.099750346,2.443638003,16.94476387,19.8340046,148.1968193,11.43395921,3.677876847,24.81751542,3.68643735,7.680212491,0.06730937,13.38355621
0.640640641,64,5022.753164,361283.6966,11481.78465,1124201.259,111.2141821,16.53247254,5.559401219,11.69745867,0.129570712,3.091032895,17.3864306,19.62350543,148.2241181,11.72982563,3.700993603,24.96890284,3.750672489,7.89173774,0.087415404,13.23907721
0.720720721,64,5611.876976,357084.9435,12767.75201,1113971.988,110.9851599,15.61757696,5.661551665,12.0482943,0.163070336,3.778341447,17.8729163,19.39591841,148.2539946,12.05560521,3.726883471,25.13850289,3.818818967,8.126792357,0.10999389,13.08289767
0.800800801,64,6192.780845,352942.6166,14022.55156,1103848.494,110.7314965,14.66091081,5.767826752,12.43235016,0.200174291,4.493402222,18.4003512,19.15431303,148.2861607,12.40867733,3.755466423,25.32580522,3.88965951,8.384025927,0.13499189,12.91712789
0.880880881,64,6765.575878,348855.9542,15246.7558,1093829.521,110.4537126,13.67732393,5.876486597,12.84748913,0.2408064,5.224508582,18.96478212,18.90183251,148.3203273,12.7863675,3.786661463,25.53029334,3.962023753,8.661988119,0.162355629,12.74392584
0.960960961,64,7330.371685,344824.2046,16440.92756,1083913.829,110.1523368,12.68101871,5.985896147,13.29140641,0.284889368,5.960659262,19.56219192,18.64167797,148.3562067,13.18596125,3.820386989,25.75144697,4.034813427,8.959117185,0.192030636,12.56548572
